name,place,location,latitude,longitude,year
Policajti z predmestí (1999) {Anglicky snadno a rychle (#1.4)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Cesty zlata (#1.2)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Jak vypadat vázne (#1.6)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Lepsí vyhoret (#1.8)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Módní prehlídka (#1.12)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Na holou ne! (#1.11)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Pivo pro policii (#1.3)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {V rytmu valcíku (#1.5)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Velký séf (#1.1)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Veselé Velikonoce (#1.10)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Vzorná jednotka (#1.7)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Policajti z predmestí (1999) {Zátah na pedofily (#1.9)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1999
Pozabljeni (2015) {Pozabljena arhitekta: Fritz Friedriger & Max Czeike (#1.11)},"Maribor, Slovenia","Maribor, Slovenija",46.5576439,15.6455854,2015
Predcasná úmrtí (2000) {Príbeh vypravece (#1.15)},Czech Republic,Česko,49.8167003,15.4749544,2000
Preslapy (2009) {Jak te mám uspokojit? (#1.4)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Jak te mám uspokojit? (#1.4)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Kdy se zacaly dít tyhle veci? (#2.4)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Kdy se zacaly dít tyhle veci? (#2.4)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Láska ze vsech delá lháre (#3.3)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Láska ze vsech delá lháre (#3.3)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Manzelství je ta nejkrásnejsí vec (#3.4)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Manzelství je ta nejkrásnejsí vec (#3.4)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Máme toho hodne spolecného (#3.2)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Máme toho hodne spolecného (#3.2)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Na tvári lehký smích... (#2.12)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Na tvári lehký smích... (#2.12)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Porod v prímém prenosu (#1.2)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Porod v prímém prenosu (#1.2)},Czech Republic,Česko,49.8167003,15.4749544,2009
Preslapy (2009) {Tohle nebude fungovat (#3.7)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
Preslapy (2009) {Tohle nebude fungovat (#3.7)},Czech Republic,Česko,49.8167003,15.4749544,2009
"Preslapy (2009) {Zeny v nouzi, muzi v pokusení (#3.1)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2009
"Preslapy (2009) {Zeny v nouzi, muzi v pokusení (#3.1)}",Czech Republic,Česko,49.8167003,15.4749544,2009
Public Agent (2012) {Cold Big Cock But a Warm Wet Pussy (#5.1)},Czech Republic,Česko,49.8167003,15.4749544,2012
Public Pick Ups (2012) {Double-Teaming That Piece of Ass},Czech Republic,Česko,49.8167003,15.4749544,2012
"Real World/Road Rules Challenge (1998) {Cutthroat: Couching Tyger, Hidden Danimal (#20.5)}","Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1998
Riverdale (2017) {Chapter Twenty: Tales from the Darkside (#2.7)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,2017
Riverdale (2017) {Chapter Twenty: Tales from the Darkside (#2.7)},"City of Prague New Town Hall, Prague, Czech Republic","City, Senovážná, Nové Město, Hlavní město Praha, Praha, 116 47, Česko",50.0864452,14.4296619,2017
Rozpaky kuchare Svatopluka (1985) {Dieta (#1.5)},"Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,1985
Rozpaky kuchare Svatopluka (1985) {Kocka (#1.8)},"Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,1985
Rozpaky kuchare Svatopluka (1985) {Kurátko (#1.1)},"Krkonose, Czech Republic","Karkonosze / Krkonoše, Pec pod Sněžkou, okres Trutnov, Královéhradecký kraj, Severovýchod, 542 21, Česko",50.7261252,15.6915525,1985
Rozpaky kuchare Svatopluka (1985) {Nedele (#1.4)},"Krkonose, Czech Republic","Karkonosze / Krkonoše, Pec pod Sněžkou, okres Trutnov, Královéhradecký kraj, Severovýchod, 542 21, Česko",50.7261252,15.6915525,1985
Rozpaky kuchare Svatopluka (1985) {Omácka (#1.2)},"Krkonose, Czech Republic","Karkonosze / Krkonoše, Pec pod Sněžkou, okres Trutnov, Královéhradecký kraj, Severovýchod, 542 21, Česko",50.7261252,15.6915525,1985
Rozpaky kuchare Svatopluka (1985) {Pivar (#1.6)},"Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,1985
Rozpaky kuchare Svatopluka (1985) {Prepadovka (#1.7)},"Karlovy Vary, Czech Republic","Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko",50.2304694,12.8710769,1985
Rozpaky kuchare Svatopluka (1985) {Recepce (#1.13)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1985
Rozpaky kuchare Svatopluka (1985) {Spalek (#1.12)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1985
Rozpaky kuchare Svatopluka (1985) {Sporák (#1.9)},"Krkonose, Czech Republic","Karkonosze / Krkonoše, Pec pod Sněžkou, okres Trutnov, Královéhradecký kraj, Severovýchod, 542 21, Česko",50.7261252,15.6915525,1985
Rozpaky kuchare Svatopluka (1985) {Sporák (#1.9)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1985
Rozpaky kuchare Svatopluka (1985) {Svícková (#1.3)},"Krkonose, Czech Republic","Karkonosze / Krkonoše, Pec pod Sněžkou, okres Trutnov, Královéhradecký kraj, Severovýchod, 542 21, Česko",50.7261252,15.6915525,1985
Rozpaky kuchare Svatopluka (1985) {Zatácka (#1.10)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1985
Rozpaky kuchare Svatopluka (1985) {Záruka (#1.11)},"Prague, Czech Republic","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,1985
"Schätze der Welt - Erbe der Menschheit (1995) {Das Haus Tugendhat - Leben im Kunstwerk, Tschechien (#9.11)}","Villa Tugendhat, Brno, Czech Republic","Vila Tugendhat, 237/45, Černopolní, Černá Pole, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 61300, Česko",49.2071685,16.616061701410256,1995
"Schätze der Welt - Erbe der Menschheit (1995) {Krumau - Juwel an der Moldau, Tschechien (#5.5)}","Cesky Krumlov, Czech Republic","Český Krumlov, okres Český Krumlov, Jihočeský kraj, Jihozápad, Česko",48.805114950000004,14.316197791106362,1995
